account_id,avg_txn_amount,risk_tag
ACC100000,4665.864870982282,normal
ACC100001,3187.656923947702,normal
ACC100002,5108.254924717434,normal
ACC100003,8637.06334886616,normal
ACC100004,3009.4360312840686,normal
ACC100005,3009.4656763747403,watchlist
ACC100006,8933.179783817113,normal
ACC100007,5488.777529530359,normal
ACC100008,2613.159666803828,normal
ACC100009,4795.992853985341,normal
ACC100010,2622.673206219887,normal
ACC100011,2619.037460741909,normal
ACC100012,4004.513435824365,normal
ACC100013,1098.8636212456274,normal
ACC100014,1230.344266284211,normal
ACC100015,2471.6160389282936,normal
ACC100016,1886.1657199271604,normal
ACC100017,4182.014718861731,normal
ACC100018,2008.5845614134635,watchlist
ACC100019,1484.180102447693,normal
ACC100020,8344.761547176518,normal
ACC100021,3024.600270373357,normal
ACC100022,3606.5860913166807,normal
ACC100023,1473.139458176368,normal
ACC100024,2498.311456564179,normal
ACC100025,3701.7225850783198,normal
ACC100026,1736.1127713171747,normal
ACC100027,4339.085154617665,normal
ACC100028,2415.3917929857994,normal
ACC100029,2907.310628280867,normal
ACC100030,2413.8446182467314,normal
ACC100031,10523.508209660593,normal
ACC100032,3435.4447256067942,normal
ACC100033,1836.0530087401166,normal
ACC100034,5673.304023849453,normal
ACC100035,1664.8558299008403,normal
ACC100036,3925.771443438571,normal
ACC100037,1068.6996688540412,normal
ACC100038,1561.010068709614,normal
ACC100039,3897.601884279395,normal
ACC100040,5394.201978322543,normal
ACC100041,3838.4386783259124,normal
ACC100042,3231.206999813827,normal
ACC100043,2890.942298037414,normal
ACC100044,1426.3682475919652,normal
ACC100045,2248.6683486917505,normal
ACC100046,2627.049776180843,normal
ACC100047,6530.725611211336,normal
ACC100048,4256.365787932786,normal
ACC100049,1202.5215307176902,normal
ACC100050,4206.769875175216,normal
ACC100051,2748.884939123102,normal
ACC100052,2307.3311743377285,normal
ACC100053,4999.062997249808,normal
ACC100054,6429.163487407657,normal
ACC100055,6055.7776056739385,normal
ACC100056,2093.242307282447,normal
ACC100057,2876.9114212314676,normal
ACC100058,4224.930368563699,normal
ACC100059,6218.76788121121,normal
ACC100060,2597.995479645741,normal
ACC100061,3098.286866471838,normal
ACC100062,1783.2610462661976,normal
ACC100063,1689.6488842813599,watchlist
ACC100064,5639.301523300927,normal
ACC100065,7814.560608404923,normal
ACC100066,3316.926655654343,normal
ACC100067,6324.079306023878,normal
ACC100068,4302.629451019148,normal
ACC100069,2351.7808936960205,normal
ACC100070,4302.00883406873,normal
ACC100071,8715.18285939875,normal
ACC100072,3389.7260182530986,normal
ACC100073,8855.430746645252,normal
ACC100074,719.2096764614795,normal
ACC100075,5671.1177006209955,normal
ACC100076,3649.0722673596624,normal
ACC100077,2894.580833518693,watchlist
ACC100078,3659.407272665255,normal
ACC100079,1050.959306448827,normal
ACC100080,3035.698627541124,normal
ACC100081,4290.967637037557,normal
ACC100082,8406.29767248886,normal
ACC100083,2537.761999452562,normal
ACC100084,2132.187737215138,normal
ACC100085,2563.0308778905865,normal
ACC100086,5998.359358815842,normal
ACC100087,4218.566535508763,normal
