transaction_id,account_id,transaction_date,amount_inr,transaction_type,channel,counterparty_country,risk_tag,zscore,zscore_flag,iqr_flag,suspicious
TXN1158358,ACC117627,2025-11-25,421507.34,Credit,NEFT,IN,high_risk,1.9475376437478977,False,True,True
TXN1032259,ACC117627,2025-02-03,381536.81,Debit,IMPS,IN,high_risk,1.6937421685640797,False,True,True
TXN1178497,ACC117627,2025-07-16,380883.07,Credit,Wire Transfer,IN,high_risk,1.6895912039922647,False,True,True
TXN1018519,ACC117627,2025-11-15,325647.12,Credit,Cash Deposit,US,high_risk,1.3388669534636979,False,True,True
TXN1138278,ACC110519,2025-09-29,305510.19,Debit,UPI,IN,high_risk,1.4917524462899305,False,True,True
TXN1051277,ACC117627,2025-08-12,300861.97,Credit,NEFT,HK,high_risk,1.1814920344483082,False,True,True
TXN1179956,ACC105235,2025-04-16,288551.21,Debit,Cash Deposit,IN,high_risk,1.8434363571553916,False,True,True
TXN1008981,ACC105235,2025-11-07,282329.59,Credit,Cheque,IN,high_risk,1.7853829114107942,False,True,True
TXN1012159,ACC110519,2025-10-02,280391.2,Debit,IMPS,IN,high_risk,1.2870486882599352,False,True,True
TXN1225322,ACC103409,2025-05-19,274901.59,Credit,IMPS,GB,high_risk,3.3653233485276255,False,True,True
TXN1037068,ACC110519,2025-12-02,260183.96,Debit,Cash Deposit,IN,high_risk,1.1223725620536649,False,True,True
TXN1090069,ACC110539,2025-09-27,255076.71,Debit,IMPS,IN,high_risk,2.04879643884236,False,True,True
TXN1065105,ACC102178,2025-05-26,252993.43,Credit,IMPS,IN,high_risk,2.038520283355712,False,True,True
TXN1152832,ACC110539,2025-06-28,249998.31,Debit,IMPS,AE,high_risk,1.9911485233379196,False,True,True
TXN1210020,ACC111289,2025-08-20,249291.78,Credit,NEFT,IN,high_risk,1.9497151736579004,False,True,True
TXN1005056,ACC111289,2025-01-31,240180.82,Debit,NEFT,SG,high_risk,1.8472128813380908,False,True,True
TXN1097390,ACC117296,2025-06-09,239874.75,Debit,IMPS,IN,high_risk,1.8156621447251888,False,True,True
TXN1083173,ACC102178,2025-03-21,235208.45,Credit,UPI,IN,high_risk,1.8494820786931818,False,True,True
TXN1079640,ACC102178,2025-03-06,233190.68,Credit,NEFT,IN,high_risk,1.828035013910319,False,True,True
TXN1019233,ACC111653,2025-11-30,228144.56,Debit,UPI,IN,high_risk,1.9330558744914579,False,True,True
TXN1115461,ACC114705,2025-06-09,227010.37,Credit,UPI,IN,high_risk,1.7643111178587616,False,True,True
TXN1241421,ACC114705,2025-02-05,225650.53,Credit,UPI,IN,high_risk,1.749155299213939,False,True,True
TXN1234071,ACC105235,2025-08-31,224101.48,Debit,NEFT,US,high_risk,1.2420610073575964,False,True,True
TXN1135834,ACC113953,2025-08-02,222629.42,Credit,UPI,IN,high_risk,1.8900372046535294,False,True,True
TXN1149310,ACC101758,2025-06-27,221098.19,Debit,UPI,IN,high_risk,1.2737667941191613,False,True,True
TXN1228696,ACC102825,2025-09-16,220673.18,Debit,Wire Transfer,IN,high_risk,1.410258710329981,False,True,True
TXN1216829,ACC113953,2025-06-08,219326.26,Debit,UPI,IN,high_risk,1.8497206446812067,False,True,True
TXN1130440,ACC114705,2025-11-13,218916.86,Debit,NEFT,IN,high_risk,1.674106557204524,False,True,True
TXN1231587,ACC110519,2025-05-02,218317.5,Debit,IMPS,IN,high_risk,0.7811875981115447,False,True,True
TXN1133834,ACC101758,2025-01-19,216575.97,Debit,IMPS,IN,high_risk,1.2263869882740295,False,True,True
TXN1153145,ACC110297,2025-08-01,216390.71,Credit,NEFT,IN,high_risk,1.5629030845628953,False,True,True
TXN1032301,ACC102825,2025-01-09,216360.13,Debit,NEFT,HK,high_risk,1.3623686433422224,False,True,True
TXN1194712,ACC103904,2025-06-22,215620.36,Credit,NEFT,IN,high_risk,1.8065312810721394,False,True,True
TXN1064246,ACC101758,2025-07-15,215425.01,Debit,RTGS,IN,high_risk,1.2143282513405071,False,True,True
TXN1098442,ACC103904,2025-06-08,213458.41,Debit,Wire Transfer,AE,high_risk,1.7770187668429427,False,True,True
TXN1156199,ACC102825,2025-07-30,207025.09,Credit,UPI,HK,high_risk,1.2587167749582697,False,True,True
TXN1015801,ACC110297,2025-08-02,206029.77,Credit,IMPS,IN,high_risk,1.4460918556603335,False,True,True
TXN1129623,ACC105235,2025-09-23,203008.68,Debit,Cheque,IN,high_risk,1.0452457533881085,False,True,True
TXN1046785,ACC110297,2025-04-08,201891.82,Credit,Cash Deposit,IN,high_risk,1.3994398120583675,False,True,True
TXN1124522,ACC105235,2025-11-01,201504.09,Credit,UPI,IN,high_risk,1.0312065427110078,False,True,True
TXN1023161,ACC117296,2025-05-07,200543.15,Credit,UPI,IN,high_risk,1.3746156272698105,False,True,True
TXN1082656,ACC105499,2025-03-26,197334.93,Credit,UPI,IN,high_risk,1.5855138030371718,False,True,True
TXN1004970,ACC108590,2025-05-21,197224.99,Debit,IMPS,AE,high_risk,2.3559019241263517,False,True,True
TXN1122800,ACC108771,2025-08-02,196427.99,Credit,IMPS,IN,high_risk,2.164389687416894,False,True,True
TXN1042903,ACC101758,2025-06-06,194507.39,Debit,UPI,IN,high_risk,0.9951720019005752,False,True,True
TXN1248413,ACC102825,2025-10-26,194106.59,Credit,RTGS,IN,high_risk,1.1152758618268752,False,True,True
TXN1154356,ACC114705,2025-05-23,193745.42,Debit,RTGS,IN,high_risk,1.393563420019977,False,True,True
TXN1164993,ACC110297,2025-02-16,191751.53,Credit,UPI,IN,high_risk,1.2851162336640944,False,True,True
TXN1214678,ACC105235,2025-08-21,191104.22,Credit,NEFT,IN,high_risk,0.9341661756047128,False,True,True
TXN1032545,ACC109248,2025-02-05,190211.91,Debit,IMPS,IN,high_risk,2.1804004467128464,False,True,True
TXN1121412,ACC102477,2025-04-29,189639.63,Debit,UPI,SG,high_risk,2.5508033661606997,False,True,True
TXN1183549,ACC117296,2025-04-04,189561.6,Credit,IMPS,IN,high_risk,1.2514735637950953,False,True,True
TXN1170741,ACC117336,2025-10-12,187974.49,Credit,RTGS,IN,high_risk,1.44324529090374,False,True,True
TXN1209285,ACC113532,2025-02-14,187830.04,Debit,NEFT,IN,high_risk,1.8014977741703635,False,True,True
TXN1074423,ACC109248,2025-04-09,186562.43,Credit,Wire Transfer,IN,high_risk,2.125981692582897,False,True,True
TXN1079195,ACC103904,2025-02-04,186421.42,Debit,NEFT,IN,high_risk,1.4079401331605477,False,True,True
TXN1247592,ACC109391,2025-04-28,185479.17,Credit,UPI,IN,high_risk,1.33527564357836,False,True,True
TXN1210377,ACC110660,2025-10-25,184887.43,Debit,NEFT,IN,high_risk,2.4972287592288853,False,True,True
TXN1084058,ACC111289,2025-11-18,183494.45,Credit,NEFT,HK,high_risk,1.2094663795107452,False,True,True
TXN1023284,ACC100473,2025-06-04,183280.78,Debit,IMPS,IN,high_risk,1.5543439936168217,False,True,True
TXN1172537,ACC102825,2025-05-03,182123.69,Debit,NEFT,IN,high_risk,0.9822234085264003,False,True,True
TXN1136196,ACC113532,2025-12-14,181699.77,Debit,UPI,IN,high_risk,1.7137946929418162,False,True,True
TXN1209845,ACC109391,2025-03-01,181440.81,Debit,UPI,IN,high_risk,1.280286778499301,False,True,True
TXN1189137,ACC100473,2025-08-04,180633.03,Debit,IMPS,IN,high_risk,1.518492531821081,False,True,True
TXN1177225,ACC108590,2025-01-13,180623.73,Credit,IMPS,IN,high_risk,2.100108454976851,False,True,True
TXN1139831,ACC105311,2025-10-05,179858.27,Credit,UPI,IN,high_risk,2.0332884981077477,False,True,True
TXN1188015,ACC101758,2025-05-02,178937.77,Credit,UPI,IN,high_risk,0.8320473479291883,False,True,True
TXN1160707,ACC105499,2025-02-04,178714.82,Debit,UPI,IN,high_risk,1.336932802986958,False,True,True
TXN1242948,ACC117336,2025-09-12,178122.97,Debit,RTGS,IN,high_risk,1.3137793647552942,False,True,True
TXN1050189,ACC105294,2025-05-24,177993.0,Debit,IMPS,IN,high_risk,1.9214760250865723,False,True,True
TXN1209844,ACC106509,2025-08-05,177439.55,Credit,IMPS,IN,high_risk,2.9723791735985836,False,True,True
TXN1164700,ACC110519,2025-07-02,176631.35,Debit,RTGS,IN,high_risk,0.44147204574251675,False,True,True
TXN1049003,ACC114340,2025-05-13,176249.46,Credit,UPI,SG,high_risk,2.355560798996329,False,True,True
TXN1196324,ACC109391,2025-03-29,174682.6,Credit,UPI,IN,high_risk,1.1882627148036564,False,True,True
TXN1155627,ACC110539,2025-01-01,174675.63,Debit,NEFT,US,high_risk,1.1361163296926708,False,True,True
TXN1067821,ACC105235,2025-10-09,174521.81,Debit,NEFT,HK,high_risk,0.7794370151529862,False,True,True
TXN1071810,ACC105294,2025-02-25,174387.06,Debit,UPI,IN,high_risk,1.8669377430728558,False,True,True
TXN1206919,ACC113094,2025-10-29,173569.37,Credit,Wire Transfer,IN,high_risk,2.305927931240371,False,True,True
TXN1038233,ACC110297,2025-12-21,173529.13,Credit,NEFT,IN,high_risk,1.0796733937717642,False,True,True
TXN1178545,ACC102178,2025-08-16,172644.49,Credit,IMPS,IN,high_risk,1.1844839355983698,False,True,True
TXN1093934,ACC117336,2025-09-30,172597.59,Debit,IMPS,IN,high_risk,1.241166363003067,False,True,True
TXN1150799,ACC105499,2025-07-08,172523.18,Credit,Cash Deposit,US,high_risk,1.254273567184865,False,True,True
TXN1109387,ACC107075,2025-02-08,169947.26,Debit,NEFT,IN,high_risk,2.4118898892236307,False,True,True
TXN1220860,ACC114705,2025-08-26,169929.46,Debit,Cheque,IN,high_risk,1.1281275079918331,False,True,True
TXN1181549,ACC117296,2025-06-27,169054.85,Credit,UPI,IN,high_risk,1.0215202775868535,False,True,True
TXN1168276,ACC117627,2025-02-06,168564.88,Debit,NEFT,IN,high_risk,0.34146307256098035,False,True,True
TXN1056638,ACC114340,2025-09-20,167703.06,Credit,IMPS,HK,high_risk,2.209114609770254,False,True,True
TXN1170797,ACC112208,2025-06-20,165826.89,Credit,Cash Deposit,IN,high_risk,1.5005622919225061,False,True,True
TXN1085123,ACC111653,2025-06-28,163805.06,Debit,NEFT,IN,high_risk,1.137532849437827,False,True,True
TXN1136848,ACC112208,2025-11-01,162900.96,Credit,RTGS,IN,high_risk,1.4560391950450748,False,True,True
TXN1177130,ACC117336,2025-04-07,162836.13,Credit,UPI,IN,high_risk,1.1128839802376653,False,True,True
TXN1098392,ACC103409,2025-10-27,162716.07,Debit,UPI,SG,high_risk,1.7430354625092945,False,True,True
TXN1013637,ACC113532,2025-10-05,162638.87,Debit,IMPS,IN,high_risk,1.4410987658473793,False,True,True
TXN1199074,ACC103904,2025-07-14,162520.21,Debit,UPI,IN,high_risk,1.0816676475711382,False,True,True
TXN1078704,ACC110519,2025-08-26,161981.66,Credit,IMPS,IN,high_risk,0.32208640973667246,False,True,True
TXN1022138,ACC111653,2025-08-07,161740.16,Credit,IMPS,IN,high_risk,1.1120014807695402,False,True,True
TXN1019420,ACC103020,2025-01-11,161068.86,Credit,IMPS,IN,high_risk,1.9579202796803414,False,True,True
TXN1180354,ACC109391,2025-11-18,158677.87,Credit,Wire Transfer,SG,high_risk,0.9703321839453967,False,True,True
TXN1054209,ACC104282,2025-01-10,158125.76,Credit,IMPS,IN,high_risk,1.2108237036796206,False,True,True
TXN1120879,ACC108771,2025-12-31,157991.27,Credit,UPI,IN,high_risk,1.6079559631520142,False,True,True
TXN1186558,ACC114160,2025-07-31,157248.45,Credit,UPI,US,high_risk,2.472474183484082,False,True,True
TXN1113408,ACC102825,2025-03-02,157046.88,Debit,IMPS,SG,high_risk,0.7037823724291381,False,True,True
TXN1013881,ACC112208,2025-06-07,156646.35,Debit,NEFT,IN,high_risk,1.3608644618967949,False,True,True
TXN1090951,ACC104374,2025-10-26,155897.0,Credit,RTGS,US,high_risk,2.2496397864953708,False,True,True
TXN1185996,ACC107409,2025-01-18,155544.51,Credit,NEFT,IN,high_risk,1.8311964249049486,False,True,True
TXN1146140,ACC111988,2025-11-14,155157.22,Credit,UPI,IN,watchlist,2.154289261685713,False,True,True
TXN1176107,ACC101758,2025-02-10,153785.79,Debit,NEFT,IN,high_risk,0.5685272341309562,False,True,True
TXN1172706,ACC106696,2025-06-21,153451.12,Debit,NEFT,IN,high_risk,1.552763558413463,False,True,True
TXN1091900,ACC107409,2025-01-07,152621.81,Debit,IMPS,IN,high_risk,1.780457227850941,False,True,True
TXN1223197,ACC103904,2025-06-13,152334.18,Credit,NEFT,IN,high_risk,0.942619401629268,False,True,True
TXN1214156,ACC111988,2025-06-06,152209.36,Credit,UPI,IN,watchlist,2.099348066111508,False,True,True
TXN1114471,ACC110539,2025-10-31,152116.03,Credit,IMPS,US,high_risk,0.8800289961596718,False,True,True
TXN1235389,ACC104692,2025-09-24,151968.76,Debit,Wire Transfer,IN,high_risk,1.2229078555100792,False,True,True
TXN1203562,ACC101233,2025-10-12,151642.24,Debit,IMPS,IN,watchlist,1.6555840257838417,False,True,True
TXN1225734,ACC101233,2025-01-17,150658.78,Credit,UPI,SG,watchlist,1.6392038498041905,False,True,True
TXN1084786,ACC113532,2025-09-27,149907.34,Credit,Cash Deposit,IN,high_risk,1.2589543562612298,False,True,True
TXN1153811,ACC106696,2025-08-03,149902.49,Credit,Wire Transfer,IN,high_risk,1.4967809198676694,False,True,True
TXN1118962,ACC109391,2025-09-14,148940.71,Debit,UPI,IN,high_risk,0.8377448520846399,False,True,True
TXN1097472,ACC105499,2025-08-19,148486.66,Debit,NEFT,IN,high_risk,0.9333827572311664,False,True,True
TXN1042205,ACC105499,2025-03-27,148111.82,Debit,RTGS,IN,high_risk,0.9283785922687241,False,True,True
TXN1199552,ACC101233,2025-11-13,147636.6,Credit,IMPS,IN,watchlist,1.5888674454337206,False,True,True
TXN1069523,ACC103904,2025-07-17,147245.24,Debit,NEFT,HK,high_risk,0.8731509059834255,False,True,True
TXN1106516,ACC102477,2025-09-16,146702.44,Credit,Cash Deposit,IN,high_risk,1.8184594637951168,False,True,True
TXN1005237,ACC109391,2025-10-01,146427.17,Debit,NEFT,IN,high_risk,0.8035189009730956,False,True,True
TXN1127770,ACC104692,2025-09-28,146259.67,Credit,Wire Transfer,IN,high_risk,1.138639790518855,False,True,True
TXN1209460,ACC109248,2025-11-28,145830.56,Credit,NEFT,IN,high_risk,1.5186136240407855,False,True,True
TXN1241062,ACC111155,2025-09-18,145744.05,Credit,NEFT,IN,high_risk,2.587014924914714,False,True,True
TXN1178535,ACC108590,2025-11-18,144742.48,Credit,IMPS,IN,high_risk,1.5472474423235627,False,True,True
TXN1133067,ACC103020,2025-07-30,144574.53,Debit,UPI,IN,high_risk,1.675321366826446,False,True,True
TXN1178335,ACC111597,2025-09-03,144555.03,Credit,UPI,IN,watchlist,2.478225610408749,False,True,True
TXN1026909,ACC106696,2025-02-14,144507.89,Debit,IMPS,GB,high_risk,1.411676543841108,False,True,True
TXN1137488,ACC109209,2025-09-15,144155.05,Credit,IMPS,AE,high_risk,2.116351688956818,False,True,True
TXN1248612,ACC105235,2025-02-14,143927.58,Debit,RTGS,IN,high_risk,0.49396466688955376,False,True,True
TXN1240867,ACC101758,2025-12-21,143780.95,Credit,Wire Transfer,IN,high_risk,0.46370540398744037,False,True,True
TXN1056041,ACC114705,2025-06-09,143558.3,Debit,Wire Transfer,HK,high_risk,0.8342131368793483,False,True,True
TXN1151699,ACC105353,2025-01-29,143472.54,Credit,UPI,AE,high_risk,1.4867720484696405,False,True,True
TXN1041582,ACC105353,2025-08-10,143433.95,Credit,NEFT,IN,high_risk,1.4861447163036545,False,True,True
TXN1028557,ACC101079,2025-04-08,143213.39,Credit,RTGS,IN,high_risk,1.8901848307957114,False,True,True
TXN1232341,ACC103020,2025-10-06,143113.49,Debit,NEFT,IN,high_risk,1.6502892305932033,False,True,True
TXN1180871,ACC112958,2025-05-06,142952.43,Debit,UPI,SG,high_risk,2.0828235562985538,False,True,True
TXN1099307,ACC100473,2025-05-20,142842.95,Debit,RTGS,IN,high_risk,1.0068016209050241,False,True,True
TXN1211152,ACC100473,2025-03-31,142675.39,Credit,UPI,IN,high_risk,1.0045327998537563,False,True,True
TXN1234242,ACC114443,2025-01-08,142263.54,Debit,IMPS,AE,high_risk,1.9205593087832378,False,True,True
TXN1081270,ACC117540,2025-01-17,142225.15,Credit,NEFT,US,high_risk,1.854934086489855,False,True,True
TXN1236896,ACC117336,2025-01-20,142120.7,Debit,IMPS,AE,high_risk,0.8406475811324201,False,True,True
TXN1146595,ACC111597,2025-04-18,142025.59,Debit,UPI,IN,watchlist,2.420999528890216,False,True,True
TXN1029665,ACC109248,2025-02-15,141946.71,Credit,NEFT,IN,high_risk,1.4607000916395656,False,True,True
TXN1070071,ACC110858,2025-05-08,141427.94,Credit,NEFT,IN,high_risk,1.100960564456464,False,True,True
TXN1028157,ACC107075,2025-01-21,141351.73,Credit,IMPS,US,high_risk,1.887130437455798,False,True,True
TXN1055568,ACC100473,2025-06-29,141348.29,Credit,NEFT,US,high_risk,0.9865634013270345,False,True,True
TXN1033224,ACC117296,2025-01-11,141028.73,Debit,IMPS,IN,high_risk,0.707248226010347,False,True,True
TXN1151232,ACC103020,2025-12-14,140652.4,Credit,UPI,IN,high_risk,1.608123143311356,False,True,True
TXN1081044,ACC117509,2025-08-18,140420.8,Debit,IMPS,IN,high_risk,3.0778043610018164,False,True,True
TXN1190353,ACC106485,2025-10-01,140179.92,Credit,UPI,IN,watchlist,2.088077240785806,False,True,True
TXN1233285,ACC101079,2025-03-27,139673.96,Credit,IMPS,IN,high_risk,1.8241229005520727,False,True,True
TXN1248031,ACC102825,2025-04-17,139415.1,Credit,UPI,IN,high_risk,0.5080074277117284,False,True,True
TXN1242522,ACC103904,2025-11-29,139330.02,Debit,NEFT,AE,high_risk,0.7651012087761709,False,True,True
TXN1100791,ACC117296,2025-02-10,139228.14,Debit,Cheque,IN,high_risk,0.6870572358430266,False,True,True
TXN1062574,ACC110858,2025-04-21,138965.87,Credit,IMPS,IN,high_risk,1.0624354076325198,False,True,True
TXN1207895,ACC105353,2025-06-12,138479.2,Credit,NEFT,IN,high_risk,1.4055986149971356,False,True,True
TXN1204454,ACC114443,2025-11-24,138351.09,Credit,UPI,IN,high_risk,1.845569735479503,False,True,True
TXN1243134,ACC105499,2025-04-26,137914.13,Credit,Cheque,IN,high_risk,0.7922380443126665,False,True,True
TXN1221474,ACC109209,2025-05-17,137868.68,Debit,UPI,IN,high_risk,1.9876765883944512,False,True,True
TXN1122366,ACC110660,2025-03-11,137739.43,Credit,NEFT,IN,high_risk,1.721945370389282,False,True,True
TXN1175587,ACC101001,2025-11-03,137293.01,Debit,UPI,AE,high_risk,1.4089005643919632,False,True,True
TXN1034786,ACC116463,2025-09-15,137216.74,Credit,IMPS,SG,high_risk,1.928478070438441,False,True,True
TXN1156157,ACC105275,2025-12-29,136386.53,Credit,UPI,IN,high_risk,1.9677599885537995,False,True,True
TXN1166779,ACC117336,2025-03-13,136261.74,Debit,NEFT,IN,high_risk,0.7636507641268512,False,True,True
TXN1010746,ACC113953,2025-07-18,135593.4,Credit,UPI,IN,high_risk,0.8277232628274355,False,True,True
TXN1121292,ACC113532,2025-01-18,135438.66,Debit,NEFT,AE,high_risk,1.0519573043679438,False,True,True
TXN1081718,ACC103409,2025-04-09,134690.39,Credit,UPI,IN,high_risk,1.3377628287377863,False,True,True
TXN1142807,ACC113204,2025-03-14,133631.48,Credit,IMPS,SG,high_risk,2.1710814670832903,False,True,True
TXN1177671,ACC105011,2025-08-07,133619.94,Debit,UPI,IN,high_risk,2.1679593265379364,False,True,True
TXN1152495,ACC115889,2025-12-02,133195.97,Credit,NEFT,IN,high_risk,2.024063669101509,False,True,True
TXN1038307,ACC105426,2025-09-15,132847.16,Credit,IMPS,IN,high_risk,2.278696955797157,False,True,True
TXN1075649,ACC104394,2025-06-20,132805.9,Debit,IMPS,US,high_risk,2.0770520397502845,False,True,True
TXN1175632,ACC101001,2025-05-22,132799.6,Debit,Cash Deposit,IN,high_risk,1.3291672939343384,False,True,True
TXN1064626,ACC111289,2025-07-02,132613.72,Credit,UPI,IN,high_risk,0.6370358716493019,False,True,True
TXN1086325,ACC107457,2025-10-25,132543.93,Credit,NEFT,IN,high_risk,2.2731748655629236,False,True,True
TXN1026193,ACC110192,2025-02-07,131875.45,Credit,UPI,IN,high_risk,1.8806995662816142,False,True,True
TXN1078281,ACC110192,2025-08-07,131795.28,Credit,IMPS,IN,high_risk,1.8791633447059566,False,True,True
TXN1219728,ACC116463,2025-11-05,131684.37,Credit,IMPS,IN,high_risk,1.814515645383907,False,True,True
TXN1042297,ACC113094,2025-04-13,131443.03,Credit,Cash Deposit,IN,high_risk,1.5691942909861576,False,True,True
TXN1004478,ACC113224,2025-09-17,130945.64,Credit,IMPS,IN,high_risk,2.213995470966143,False,True,True
TXN1209574,ACC115664,2025-09-27,130825.03,Credit,RTGS,IN,high_risk,2.4716049540180407,False,True,True
TXN1036244,ACC106696,2025-08-22,130578.66,Debit,RTGS,IN,high_risk,1.191931163705331,False,True,True
TXN1009387,ACC109084,2025-05-26,130564.29,Credit,IMPS,IN,high_risk,2.694429763388241,False,True,True
TXN1021959,ACC113094,2025-08-31,129792.32,Debit,Cash Deposit,IN,high_risk,1.5403255692480708,False,True,True
TXN1172694,ACC109391,2025-07-07,129582.97,Debit,UPI,IN,high_risk,0.5741576154104715,False,True,True
TXN1238434,ACC101001,2025-08-10,129525.98,Debit,Cash Deposit,IN,high_risk,1.2710785753808362,False,True,True
TXN1096308,ACC108224,2025-09-30,129451.36,Debit,IMPS,IN,high_risk,1.8750320877970932,False,True,True
TXN1251586,ACC117540,2025-04-17,129449.29,Credit,IMPS,IN,high_risk,1.6178594100766954,False,True,True
TXN1180784,ACC112208,2025-01-10,129109.78,Debit,UPI,CH,high_risk,0.9418478163235394,False,True,True
TXN1000155,ACC110297,2025-04-06,128843.85,Credit,IMPS,IN,high_risk,0.5758829586707921,False,True,True
TXN1192398,ACC108304,2025-01-31,128730.77,Debit,IMPS,IN,high_risk,1.753464296813062,False,True,True
TXN1110078,ACC100955,2025-01-02,127986.18,Debit,NEFT,IN,high_risk,2.0913509475809824,False,True,True
TXN1246725,ACC103409,2025-04-18,127731.99,Debit,UPI,IN,high_risk,1.2371390759926015,False,True,True
TXN1218841,ACC106485,2025-12-22,127673.76,Credit,UPI,IN,watchlist,1.8215718008030182,False,True,True
TXN1032207,ACC105311,2025-07-28,127449.28,Credit,NEFT,IN,high_risk,1.2046200382467165,False,True,True
TXN1069811,ACC114160,2025-08-31,127180.81,Credit,IMPS,IN,high_risk,1.8530031878862252,False,True,True
TXN1096887,ACC102468,2025-09-01,126973.69,Debit,IMPS,AE,high_risk,1.7000306187827552,False,True,True
TXN1157480,ACC101491,2025-11-13,126832.36,Debit,NEFT,IN,watchlist,2.35826021810102,False,True,True
TXN1194109,ACC105294,2025-11-02,126755.43,Credit,IMPS,AE,high_risk,1.1465299521187637,False,True,True
TXN1196143,ACC102468,2025-04-25,126573.23,Credit,UPI,IN,high_risk,1.6916622368122578,False,True,True
TXN1064089,ACC115391,2025-08-14,126272.83,Debit,IMPS,IN,high_risk,2.003764099185127,False,True,True
TXN1200387,ACC105353,2025-01-02,126123.32,Credit,RTGS,IN,high_risk,1.2047372269934642,False,True,True
TXN1060753,ACC107409,2025-05-31,126033.35,Debit,IMPS,IN,high_risk,1.3188713273813082,False,True,True
TXN1187432,ACC104692,2025-12-12,125651.56,Credit,Cash Deposit,IN,high_risk,0.8344572407909123,False,True,True
TXN1114188,ACC105353,2025-03-05,125324.9,Debit,RTGS,IN,high_risk,1.191757839899231,False,True,True
TXN1251163,ACC117858,2025-12-04,125278.38,Debit,Cash Deposit,US,high_risk,2.123875104816839,False,True,True
TXN1047800,ACC100473,2025-02-08,125115.2,Credit,IMPS,IN,high_risk,0.766761680635193,False,True,True
TXN1141215,ACC102278,2025-04-08,124521.32,Credit,UPI,IN,high_risk,1.4669348970743536,False,True,True
TXN1009243,ACC113953,2025-09-25,124510.38,Credit,RTGS,IN,high_risk,0.6924499970745044,False,True,True
TXN1231579,ACC103904,2025-12-11,124108.25,Debit,IMPS,IN,high_risk,0.55731069386206,False,True,True
TXN1129911,ACC114443,2025-03-27,124069.18,Credit,RTGS,US,high_risk,1.5718296654818444,False,True,True
TXN1185365,ACC112006,2025-12-15,123787.6,Credit,UPI,IN,high_risk,2.3709821143819263,False,True,True
TXN1161540,ACC108304,2025-02-08,123658.86,Credit,NEFT,IN,high_risk,1.6495803406844876,False,True,True
TXN1148261,ACC104692,2025-12-26,122620.38,Debit,IMPS,SG,high_risk,0.7897160170161779,False,True,True
TXN1211732,ACC106485,2025-07-02,121877.81,Credit,IMPS,IN,watchlist,1.698060490787135,False,True,True
TXN1118227,ACC106682,2025-06-15,121397.5,Credit,IMPS,IN,high_risk,1.7496637487369877,False,True,True
